date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:15	420/420	---M--	200	added ('OK')	image/png	etag:%221a4-5e206ea1-13cfce;;;%22	https://gfxpartner.com/Frolic/images/arrow-link-2x.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-link-2x.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:15	196984/196984	---M--	200	added ('OK')	image/jpeg	etag:%2230178-5e206ea2-13cfd9;;;%22	https://gfxpartner.com/Frolic/images/video-bg.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/video-bg.jpg	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:15	389/389	---M--	200	added ('OK')	image/png	etag:%22185-5e206ea1-13cfad;;;%22	https://gfxpartner.com/Frolic/images/arrow-link-2x-hover.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-link-2x-hover.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:16	199/199	---M--	200	added ('OK')	image/png	etag:%22c7-5e206ea1-13cfa9;;;%22	https://gfxpartner.com/Frolic/images/arrow-left-hover.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-left-hover.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:16	193/193	---M--	200	added ('OK')	image/png	etag:%22c1-5e206ea1-13cfa6;;;%22	https://gfxpartner.com/Frolic/images/arrow-left.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-left.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:16	197/197	---M--	200	added ('OK')	image/png	etag:%22c5-5e206ea1-13cf93;;;%22	https://gfxpartner.com/Frolic/images/arrow-right-hover.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-right-hover.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:16	192/192	---M--	200	added ('OK')	image/png	etag:%22c0-5e206ea1-13cf51;;;%22	https://gfxpartner.com/Frolic/images/arrow-right.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/arrow-right.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:18	880/880	---M--	200	added ('OK')	image/png	etag:%22370-5e206ea1-13cfa2;;;%22	https://gfxpartner.com/Frolic/images/quote.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/quote.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:18	277245/277245	---M--	200	added ('OK')	image/jpeg	etag:%2243afd-5e206ea1-13cfab;;;%22	https://gfxpartner.com/Frolic/images/newsletter-bg01.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/newsletter-bg01.jpg	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:18	188/188	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bc-5e206ea1-13cfb9;;;%22	https://gfxpartner.com/Frolic/images/icon-check.svg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/icon-check.svg	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:19	485/485	---M--	200	added ('OK')	image/png	etag:%221e5-5e206ea1-13cf8b;;;%22	https://gfxpartner.com/Frolic/images/plane-blue.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/plane-blue.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:19	498/498	---M--	200	added ('OK')	image/png	etag:%221f2-5e206ea1-13cf68;;;%22	https://gfxpartner.com/Frolic/images/plane-orange.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/plane-orange.png	(from https://gfxpartner.com/Frolic/css/style.css)
